business,address,city,state,zip,zip4,emps,sic4,sic4desc,bldgid,sourceid,lat,long,accuracy,hqbranch,familyid,familybus,familymsas,geog
PRO LONG ROOF CARE,8215 122ND AVE NE # 144,KIRKLAND,WA,98033,8017,4,1761,Roofing/Siding Contractor,100139209,402744649,47.677488,-122.178434,3,9,0,0,0,0101000020E6100000A59F70766B8B5EC05AB741EDB7D64740
PMC MOVING LLC,8512 122ND AVE NE # 144,KIRKLAND,WA,98033,5831,5,4214,Local Trucking Compnay With Storage,43417176,402627687,47.679498,-122.178066,3,9,148528094,9,1,0101000020E6100000E4A1EF6E658B5EC045D95BCAF9D64740
TRINITY GATE & DOOR CO,635 9TH AVE,KIRKLAND,WA,98033,5617,10,3496,Manufacturer Of Fabricated Wire Products,31260526,174371179,47.682098,-122.196471,3,9,0,0,0,0101000020E610000032E719FB928C5EC06155BDFC4ED74740
123 GARAGE DOORS & GATES,8554 122ND AVE NE,KIRKLAND,WA,98033,5831,2,5211,Retailer Of Lumber And Other Building Materials,37621410,402358470,47.680936,-122.178136,3,9,0,0,0,0101000020E6100000608F8994668B5EC0A4552DE928D74740
NATURE'S PET MARKET KIRKLAND,10635 NE 68TH ST,KIRKLAND,WA,98033,7054,3,5999,Retailer Of Miscellaneous Merchandise,199423194,402582247,47.666623,-122.198096,3,9,0,0,0,0101000020E6100000FB5DD89AAD8C5EC076E107E753D54740
GUILD MORTGAGE CO,720 4TH AVE # 240,KIRKLAND,WA,98033,8154,6,6162,Mortgage Bankers And Correspondents,9734398,402345903,47.678616,-122.195746,3,2,29778,150,50,0101000020E6100000A9143B1A878C5EC06B459BE3DCD64740
ASSET REALTY GROUP,25 CENTRAL WAY # 430,KIRKLAND,WA,98033,6158,3,6531,Real Estate Agents And Managers,40463453,402576898,47.676187,-122.209192,3,9,61184,29,17,0101000020E61000006EA5D766638D5EC07C7DAD4B8DD64740
WINDWARD REAL ESTATE SVC,335 PARKPLACE CTR # G111,KIRKLAND,WA,98033,6283,3,6531,Real Estate Agents And Managers,10731717,694164740,47.676588,-122.200032,3,9,0,0,0,0101000020E6100000D2890453CD8C5EC0DB6E826F9AD64740
HOLLY JAMES SALON & SPA,598 CENTRAL WAY,KIRKLAND,WA,98033,6208,4,7231,Beauty Shops,43561840,365271964,47.67935,-122.197614,3,9,0,0,0,0101000020E6100000D5CE30B5A58C5EC0D044D8F0F4D64740
CHARLES NEEDLE PHOTO,211 KIRKLAND AVE,KIRKLAND,WA,98033,6501,1,7335,Commercial Photographer,35467476,402575882,47.675391,-122.204906,3,9,0,0,0,0101000020E610000044300E2E1D8D5EC0A181583673D64740
RUN STUDIOS,10501 NE 38TH PL # A,KIRKLAND,WA,98033,7902,4,7812,Motion Picture/Video Producer,37296134,402358145,47.644612,-122.199571,3,9,0,0,0,0101000020E6100000B98E71C5C58C5EC0F94D61A582D24740
CLOWNS UNLIMITED INC,PO BOX 6177,KIRKLAND,WA,98033,,7,7929,Public Entertainment Service,199423195,402548425,47.67677,-122.19203,7,9,0,0,0,0101000020E6100000757632384A8C5EC0FB743C66A0D64740
MILBRANDT ARCHITECTS INC,25 CENTRAL WAY # 210,KIRKLAND,WA,98033,6156,9,8712,Architectural Service,40463453,501745277,47.676187,-122.209192,3,9,0,0,0,0101000020E61000006EA5D766638D5EC07C7DAD4B8DD64740
NEUTRI LAWN,10020 NE 133RD PL,KIRKLAND,WA,98034,2032,2,782,Lawn And Garden Services,13310626,402358523,47.719917,-122.206212,1,9,0,0,0,0101000020E6100000BC02D193328D5EC0CF6A813D26DC4740
MY HOME FURNITURE & DECOR,11700 118TH AVE NE,KIRKLAND,WA,98034,,3,5712,Retailer Of Furniture,199423196,409286905,47.706487,-122.184118,3,9,0,0,0,0101000020E6100000B726DD96C88B5EC04B06802A6EDA4740
TONY'S BAR & GRILL,14417 124TH AVE NE,KIRKLAND,WA,98034,4801,9,5813,Drinking Places,41505474,236766804,47.731594,-122.175778,3,9,0,0,0,0101000020E6100000CD565EF23F8B5EC094F947DFA4DD4740
HARRISON INSURANCE INC,12632 NE 144TH ST # F301,KIRKLAND,WA,98034,1589,1,6411,"Insurance Agents, Brokers And Service",46870324,400696584,47.731414,-122.172524,3,9,0,0,0,0101000020E61000009B711AA20A8B5EC014EB54F99EDD4740
EASTSIDE EUROPEAN AUTO SVC,13400 NE 124TH ST,KIRKLAND,WA,98034,9345,2,7538,General Automotive Repair Service,31196553,402430522,47.711587,-122.16038,3,9,0,0,0,0101000020E6100000AEBB79AA438A5EC01FA1664815DB4740
STUDIO EAST TRAINING,11730 118TH AVE NE # 100,KIRKLAND,WA,98034,7120,10,7922,Theatrical Producers/Service,15553575,402357912,47.706487,-122.183696,3,9,0,0,0,0101000020E6100000FC19DEACC18B5EC04B06802A6EDA4740
YOUTH EASTSIDE SVC,11829 97TH AVE NE,KIRKLAND,WA,98034,4209,70,8322,Individual/Family Service,15665111,402771824,47.706422,-122.212991,3,9,0,0,0,0101000020E6100000E9D500A5A18D5EC064963D096CDA4740
PRIDE PLUMBING CO,19410 HIGHWAY 99,LYNNWOOD,WA,98036,5102,2,1711,Plumbing/Heating/Ac Contractor,35703812,402446974,47.822631,-122.314166,3,9,0,0,0,0101000020E6100000F8E0B54B1B945EC080D6FCF84BE94740
BEST PLUMBING & ROOTER,440 196TH ST NW,LYNNWOOD,WA,98036,,40,1711,Plumbing/Heating/Ac Contractor,199428154,689616308,47.8122,-122.28666,7,9,0,0,0,0101000020E610000091442FA358925EC0D5E76A2BF6E74740
LOCAL GARAGE DOOR REPAIRS 24HR,19109 36TH AVE W # 204,LYNNWOOD,WA,98036,5767,2,5211,Retailer Of Lumber And Other Building Materials,15961029,402430636,47.825732,-122.281476,3,9,0,0,0,0101000020E6100000F8A6E9B303925EC05EA10F96B1E94740
GAMES WORKSHOP,20101 44TH AVE W # D1,LYNNWOOD,WA,98036,6745,3,5092,Wholesaler Of Toys And Hobby Goods And Supplies,15690177,402773479,47.815615,-122.292027,3,9,127596,90,39,0101000020E610000023A30392B0925EC04390831266E84740
FIREWOOD GUY,4320 196TH ST SW # B706,LYNNWOOD,WA,98036,6773,1,5989,Retail Fuel Dealer,15802536,402714104,47.820774,-122.288771,3,9,0,0,0,0101000020E610000020425C397B925EC01CB4571F0FE94740
ART & COPY,2940 243RD PL SW,BRIER,WA,98036,8440,2,5999,Retailer Of Miscellaneous Merchandise,50290683,647296102,47.777397,-122.271914,3,9,0,0,0,0101000020E6100000C554FA0967915EC01781B1BE81E34740
GMAC MORTGAGE,6706 212TH ST SW,LYNNWOOD,WA,98036,7325,3,6162,Mortgage Bankers And Correspondents,9697845,402127436,47.806678,-122.323521,1,2,208785,326,150,0101000020E61000006EA46C91B4945EC08B33863941E74740
INTERNAL,4630 200TH ST SW # D,LYNNWOOD,WA,98036,6608,2,8049,Health Practitioner's Office,16245827,402127485,47.817234,-122.295444,3,9,0,0,0,0101000020E61000002A73F38DE8925EC0F296AB1F9BE84740
HOLIDAY INN EXPRESS,2515 196TH ST SW,LYNNWOOD,WA,98036,6918,20,7011,Hotels And Motels,193417625,720138346,47.820909,-122.26748,3,2,9023,3243,320,0101000020E610000062156F641E915EC0FCFECD8B13E94740
SUN'S CLEANERS,19709 SCRIBER LAKE RD # K,LYNNWOOD,WA,98036,6158,1,7212,Garment Pressing And Cleaners' Agents,31185333,427140173,47.820859,-122.311027,3,9,0,0,0,0101000020E6100000124BCADDE7935EC04AD05FE811E94740
YOHANA INTERNATIONAL INTERPRET,19707 44TH AVE W # 206,LYNNWOOD,WA,98036,6759,100,7389,Business Service,14233218,992157552,47.820267,-122.292106,3,9,0,0,0,0101000020E6100000C93D5DDDB1925EC0787E5182FEE84740
DAVE'S AURORA TRANSMISSION,6706 212TH ST SW,LYNNWOOD,WA,98036,7325,2,7538,General Automotive Repair Service,9697845,208228262,47.806678,-122.323521,1,9,0,0,0,0101000020E61000006EA46C91B4945EC08B33863941E74740
EUROPEAN LEATHER REPAIR,2100 196TH ST SW # 125,LYNNWOOD,WA,98036,7082,3,7699,Repair Services,14233287,619275886,47.820444,-122.261621,3,9,0,0,0,0101000020E610000099BC0166BE905EC087191A4F04E94740
SERVICE REPAIR SOLUTIONS,6706 212TH ST SW,LYNNWOOD,WA,98036,7325,1,7699,Repair Services,9697845,402345973,47.806678,-122.323521,1,9,148473774,17,15,0101000020E61000006EA46C91B4945EC08B33863941E74740
CHRIST'S HERITAGE CHURCH,4100 ALDERWOOD MALL BLVD # 1,LYNNWOOD,WA,98036,6734,1,8661,Religious Organization,9691805,402127224,47.817213,-122.288321,3,9,0,0,0,0101000020E61000000070ECD973925EC0DB6E826F9AE84740
HEALTH VILLAGE,3301 184TH ST SW # 115,LYNNWOOD,WA,98037,8018,1,5499,Miscellaneous Food Stores,15824948,228212312,47.832077,-122.277656,3,9,0,0,0,0101000020E610000071E2AB1DC5915EC07C60C77F81EA4740
CREATIVELY YOURS CERAMIC PAINT,3333 184TH ST SW,LYNNWOOD,WA,98037,4724,1,5945,Retailer Of Toys And Games,16025705,402127215,47.832033,-122.281233,3,9,0,0,0,0101000020E61000009563B2B8FF915EC0AD18AE0E80EA4740
CHANEY CAPITAL MANAGEMENT,3500 188TH ST SW # 328,LYNNWOOD,WA,98037,4760,2,6282,Investment Advisory Services,13430103,516307030,47.828069,-122.28037,3,9,0,0,0,0101000020E6100000E4310395F1915EC06CEA3C2AFEE94740
ALDERWOOD HEIGHTS APT,18126 36TH AVE W,LYNNWOOD,WA,98037,3809,2,6513,Apartment Building Operators,100382608,402127143,47.833836,-122.281992,3,9,0,0,0,0101000020E6100000F46E2C280C925EC01D1D5723BBEA4740
CLEAR,300 184TH ST SW,LYNNWOOD,WA,98037,,3,7374,Data Processing/Preparation Services,51602273,402422355,47.83939,-122.28378,7,9,61394,77,35,0101000020E610000091D0967329925EC0734BAB2171EB4740
SCHOEN PARNELL LAW OFFICE,3405 188TH ST SW # 301,LYNNWOOD,WA,98037,4744,1,8111,Legal Service,13430337,660362245,47.828324,-122.278925,3,9,0,0,0,0101000020E61000005B423EE8D9915EC0F73E558506EA4740
NEXT STEP PREGNANCY SVC,17602 HIGHWAY 99 # 170,LYNNWOOD,WA,98037,3674,5,8322,Individual/Family Service,37306626,415437247,47.838272,-122.300534,3,9,0,0,0,0101000020E61000008255F5F23B935EC08693347F4CEB4740
ALL TRADE HOME INSPECTION,22133 SE 237TH ST,MAPLE VALLEY,WA,98038,,2,6531,Real Estate Agents And Managers,199428920,402921552,47.389008,-122.045707,3,9,0,0,0,0101000020E6100000B08C0DDDEC825EC0F1F09E03CBB14740
CROSS FIT BASIC,23175 224TH PL SE # D2,MAPLE VALLEY,WA,98038,8230,2,7991,Physical Fitness Facility,48396729,402446767,47.393359,-122.04241,3,2,0,0,0,0101000020E61000007FC16ED8B6825EC02B4B749659B24740
MAPLE VALLEY EYE CARE CTR,27010 MAPLE VLY BLACK DMND # B,MAPLE VALLEY,WA,98038,8319,6,8042,Optometrist's Office,52421584,252906177,47.38627,-122.02933,7,9,0,0,0,0101000020E6100000ABB2EF8AE0815EC085B69C4B71B14740
FRESHY'S SEAFOOD MARKET,2411 76TH AVE SE,MERCER ISLAND,WA,98040,2730,3,5421,Retailer Of Meat And Fish,31297595,402813848,47.589228,-122.23791,3,9,0,0,0,0101000020E61000000C59DDEA398F5EC099F1B6D26BCB4740
SALES TALENT,8015 SE 28TH ST # 212,MERCER ISLAND,WA,98040,2910,3,7922,Theatrical Producers/Service,35500128,402769933,47.585351,-122.231581,3,9,0,0,0,0101000020E610000000581D39D28E5EC028D714C8ECCA4740
MERCER ISLAND CROSS FIT,3501 E MERCER WAY,MERCER ISLAND,WA,98040,,2,7991,Physical Fitness Facility,199430390,402446772,47.576694,-122.206558,3,2,0,0,0,0101000020E61000008AAE0B3F388D5EC054E6E61BD1C94740
COMMUNITY CENTER AT MERCER,8236 SE 24TH ST,MERCER ISLAND,WA,98040,2235,5,7997,Membership Recreation Club,31158016,402855747,47.58921,-122.227998,3,9,0,0,0,0101000020E61000006B63EC84978E5EC0F33CB83B6BCB4740
CUC NGUYEN MD,2955 80TH AVE SE # 206,MERCER ISLAND,WA,98040,2975,3,8011,Medical Doctor's Office,15243167,457695815,47.58398,-122.231952,3,9,0,0,0,0101000020E61000007A8F334DD88E5EC050C24CDBBFCA4740
PUGET SOUND BEHAVIORAL MDCN,2731 77TH AVE SE # 202,MERCER ISLAND,WA,98040,2800,6,8011,Medical Doctor's Office,14207459,573826153,47.58637,-122.235235,3,9,0,0,0,0101000020E6100000F9F719170E8F5EC082AD122C0ECB4740
SUSAN PARK PLLC,5648 E MERCER WAY,MERCER ISLAND,WA,98040,5123,4,8021,Dentist's Office,52183221,677807372,47.551953,-122.213403,3,9,0,0,0,0101000020E610000092770E65A88D5EC0ECF65965A6C64740
MERCER ISLAND MED IMAGING LLC,9655 SE 36TH ST # 107,MERCER ISLAND,WA,98040,3798,4,8071,Medical Laboratory,9722890,401491381,47.577772,-122.209521,3,9,0,0,0,0101000020E6100000D0B4C4CA688D5EC0B345D26EF4C94740
R W THORPE & ASSOC,7438 SE 27TH ST,MERCER ISLAND,WA,98040,2729,9,8742,Management Consulting Service,31087091,501704910,47.586974,-122.239579,3,9,0,0,0,0101000020E6100000BD732843558F5EC018CDCAF621CB4740
PETERSEN'S CONSTRUCTION CO,PO BOX 8132,KENT,WA,98042,49,2,1521,Single-Family Homes Contractor,52421597,576759807,47.36106,-122.1142,7,9,0,0,0,0101000020E6100000014D840D4F875EC067F2CD3637AE4740
NORTHPOINT CONSULTING INC,22317 175TH AVE SE,KENT,WA,98042,7233,3,7379,Computer Related Service,100096675,715216495,47.402639,-122.108262,3,9,0,0,0,0101000020E61000009259BDC3ED865EC00D8CBCAC89B34740
KENTS SERVICE CLUB BALLFIELD,14608 SE 288TH ST,KENT,WA,98042,,7,7941,Professional Sports Service,189540484,402717692,47.36106,-122.1142,7,9,0,0,0,0101000020E6100000014D840D4F875EC067F2CD3637AE4740
DAVID L TINGEY,16331 SE 266TH PL,COVINGTON,WA,98042,8214,2,8111,Legal Service,98915864,266700285,47.362703,-122.124209,3,9,0,0,0,0101000020E61000009B374E0AF3875EC09F94490D6DAE4740
MODULARARTS.COM,6510 216TH ST SW,MOUNTLAKE TER,WA,98043,2035,2,5231,"Retailer Of Paint, Glass And Wallpaper",14230331,397005166,47.802974,-122.320718,3,9,0,0,0,0101000020E6100000444FCAA486945EC0E7C41EDAC7E64740
MOUNTLAKE TERRACE LIQUOR/WINE,22402 44TH AVE W,MOUNTLAKE TER,WA,98043,4529,1,5921,Retailer Of Alcoholic Beverage,31211596,402396660,47.794947,-122.292454,3,9,0,0,0,0101000020E61000006765FB90B7925EC0D386C3D2C0E54740
CHOP SHOP BARBERS,2404 W MAIN ST,BATTLE GROUND,WA,98604,4235,5,7241,Barber Shop,31222018,402580753,45.780754,-122.562058,3,9,0,0,0,0101000020E6100000211D1EC2F8A35EC0501C40BFEFE34640
BOULDERS AT MOUNTLAKE,4710 212TH ST SW,MOUNTLAKE TER,WA,98043,5927,2,6513,Apartment Building Operators,31111961,402127144,47.806344,-122.296471,3,9,0,0,0,0101000020E6100000984D8061F9925EC0B5A9BA4736E74740
BURGER 7,30375 SE HIGH POINT WAY,PRESTON,WA,98050,,6,5812,Eating Places,146405935,402582224,47.52649,-121.93787,7,9,0,0,0,0101000020E61000009279E40F067C5EC0E5D5390664C34740
PMC MOVING LLC,16541 REDMOND WAY # 148C,REDMOND,WA,98052,4492,5,4214,Local Trucking Compnay With Storage,9598707,402627685,47.673467,-122.12052,3,9,148528094,9,1,0101000020E6100000E4A08499B6875EC0B6F7A92A34D64740
WEYERHAEUSER CO,10109 EASTRIDGE DR NE,REDMOND,WA,98053,5769,12,5031,Wholesaler Of Lumber/Related Materials,199444752,402345992,47.688789,-122.014364,3,2,6154,439,103,0101000020E6100000588FFB56EB805EC01A6CEA3C2AD84740
PACIFIC COAST BAKERY CAFE,8461 164TH AVE NE,REDMOND,WA,98052,3802,3,5461,Retail Bakeries,37621384,402553742,47.677866,-122.121784,3,9,0,0,0,0101000020E6100000454B1E4FCB875EC001892650C4D64740
HIGH POINT FLOORING,16541 REDMOND WAY,REDMOND,WA,98052,4492,3,5713,Retailer Of Floor Covering,9598707,402430682,47.673467,-122.12052,3,9,0,0,0,0101000020E6100000E4A08499B6875EC0B6F7A92A34D64740
SOCCER SHOP,16541 REDMOND WAY # C,REDMOND,WA,98052,4463,7,5941,Retailer Of Sporting Goods,9598707,210582888,47.673467,-122.12052,3,9,0,0,0,0101000020E6100000E4A08499B6875EC0B6F7A92A34D64740
LES SAISONS DESIGN,16191 NE 83RD ST # C427,REDMOND,WA,98052,4054,2,5947,Retailer Of Gifts And Novelties,188384093,207671074,47.676503,-122.12557,3,9,0,0,0,0101000020E6100000F5D6C05609885EC0AC527AA697D64740
RED160 APARTMENTS,16015 CLEVELAND ST,REDMOND,WA,98052,3805,6,6513,Apartment Building Operators,199444754,402495926,47.674611,-122.12706,3,2,0,0,0,0101000020E61000004E2844C021885EC0CC423BA759D64740
G 2 SALON,16150 NE 85TH ST # 213,REDMOND,WA,98052,3545,6,7231,Beauty Shops,16068750,402793729,47.678646,-122.12482,3,9,0,0,0,0101000020E6100000C078060DFD875EC0D6C743DFDDD64740
PHYSICAL MEDICINE GROUP,2555 152ND AVE NE,REDMOND,WA,98052,5549,1,7299,Personal Service,31190853,588192823,47.633596,-122.137884,3,9,52165,17,11,0101000020E610000011A96917D3885EC02E7079AC19D14740
CASCADE PEST CONTROL,2655 151ST PL NE,REDMOND,WA,98052,5563,20,7342,Pest Control Service,198598985,387508179,47.632376,-122.139572,3,9,148360878,5,2,0101000020E6100000FDDB65BFEE885EC03D635FB2F1D04740
DR PC FIX,8347 160TH AVE NE,REDMOND,WA,98052,3854,5,7378,Computer Maintenance Service,31155039,647357839,47.678119,-122.127721,3,9,0,0,0,0101000020E6100000CB80B3942C885EC0EBE5779ACCD64740
DYNAMIC CHIROPRACTIC,15230 NE 24TH ST # S,REDMOND,WA,98052,5540,8,8041,Chiropractor's Office,15924175,403748710,47.631727,-122.137695,3,9,0,0,0,0101000020E6100000A774B0FECF885EC006802A6EDCD04740
MAGNUSON LOWELL,8201 164TH AVE NE # 200,REDMOND,WA,98052,7615,5,8111,Legal Service,15565704,805102472,47.676107,-122.121799,3,9,0,0,0,0101000020E6100000DF6B088ECB875EC060CC96AC8AD64740
HORSEMANSHIP SCHOOL,13651 WOODINVILLE REDMOND RD N,REDMOND,WA,98052,2017,2,272,Equines Farm,31304720,402785535,47.722519,-122.135572,3,9,0,0,0,0101000020E610000036902E36AD885EC08BDEA9807BDC4740
M W TELECOM,2829 152ND AVE NE,REDMOND,WA,98052,5514,5,8748,Business Consulting Service,31141141,647340991,47.636246,-122.137883,3,9,0,0,0,0101000020E610000029EB3713D3885EC0FC1A498270D14740
ENSR CONSULTING & ENGINEER,9521 WILLOWS RD NE,REDMOND,WA,98052,3422,2,8322,Individual/Family Service,31312384,402580169,47.685691,-122.1461,3,9,0,0,0,0101000020E6100000857CD0B359895EC0AD1402B9C4D74740
CANYON'S RESTAURANT,3281 E AMES LAKE DR NE,REDMOND,WA,98053,9142,60,5812,Eating Places,101759895,992166033,47.639664,-121.95572,3,9,0,0,0,0101000020E6100000850838842A7D5EC0DB368C82E0D14740
HERRERA REAL ESTATE GROUP,8715 250TH AVE NE,REDMOND,WA,98053,5830,8,6531,Real Estate Agents And Managers,53578797,402793031,47.679251,-122.005864,3,9,0,0,0,0101000020E6100000520E661360805EC03D635FB2F1D64740
BYZINTEK,24252 NE 130TH PL,REDMOND,WA,98053,6271,2,7311,Advertising Agency,169530861,400070069,47.71552,-122.01648,7,9,0,0,0,0101000020E6100000704221020E815EC024D1CB2896DB4740
123 GARAGE DOORS & GATES,17701 108TH AVE SE,RENTON,WA,98055,6448,2,5211,Retailer Of Lumber And Other Building Materials,31183181,402359273,47.444021,-122.197213,3,9,0,0,0,0101000020E6100000265646239F8C5EC05DDE1CAED5B84740
SANTA FE MEXICAN GRILL,1170 SUNSET BLVD NE,RENTON,WA,98056,2901,6,5812,Eating Places,40715560,402794181,47.501356,-122.187386,3,9,0,0,0,0101000020E61000009C6ED921FE8B5EC0A2D3F36E2CC04740
GIESA-SHOREWOOD LLC,655 JEFFERSON AVE NE,RENTON,WA,98056,3702,3,5999,Retailer Of Miscellaneous Merchandise,101778375,400428492,47.493494,-122.178529,3,9,0,0,0,0101000020E6100000CE18E6046D8B5EC0D862B7CF2ABF4740
SSI TRANSPORTATION INC,601 SW 7TH ST,RENTON,WA,98057,2921,9,4213,Over-The-Road Trucking Company,25141445,516312857,47.473633,-122.226076,3,9,0,0,0,0101000020E6100000469A7807788E5EC037A79201A0BC4740
