sic4,sic4desc
2761,Manufacturer Of Manifold Business Forms
2771,Manufacturer Of Greeting Cards
2782,Manufacturer Of Blankbooks/Binders
2789,Bookbinding/Related Work Services
2791,Typesetting Services
2796,Platemaking Services
2812,Manufacturer Of Alkalies/Chlorine
2813,Manufacturer Of Industrial Gases
2816,Manufacturer Of Inorganic Pigments
2819,Manufacturer Of Inorganic Chemicals
2821,Manufacturer Of Plastic Mater
2822,Manufacturer Of Synthetic Rub
2823,Manufacturer Of Cellulosic Man-Made Fibers
2824,Manufacturer Of Organic Fiber
2833,Manufacturer Of Medicinals/Botanicals
2834,Manufacturer Of Pharmaceuticals
2835,Manufacturer Of Diagnostic Substances
2836,Manufacturer Of Biological Products
2841,Manufacturer Of Soap Products
2842,Manufacturer Of Cleaning/Polishing Goods
2843,Manufacturer Of Surface Active Agents
2844,Manufacturer Of Toilet Preparations
2851,Manufacturer Of Paints/Related Products
2861,Manufacturer Of Wood Chemical
2865,Manufacturer Of Cyclic Crude/Intermediates
2869,Manufacturer Of Organic Chemicals
2873,Manufacturer Of Nitrogenous Fertilizers
2874,Manufacturer Of Phosphatic Fertilizers
2875,Fertilizer Mixer
2879,Manufacturer Of Agricultural Chemicals
2891,Manufacturer Of Adhesives/Sealants
2892,Manufacturer Of Explosives
2893,Manufacturer Of Printing Ink
2895,Manufacturer Of Carbon Black
2899,Manufacturer Of Chemical Preparations
2911,Petroleum Refinery
2951,Manufacturer Of Asphalt Mixtures/Blocks
2952,Manufacturer Of Asphalt Felts
2992,Manufacturer Of Lubricating Oils/Greases
2999,Manufacturer Of Petroleum/Coal Products
3011,Manufacturer Of Tires/Inner Tubes
3021,Manufacturer Of Footwear
3052,Manufacturer Of Rubber Hoses/Belting
3053,Manufacturer Of Gasket/Packing Devices
3061,Manufacturer Of Mechanical Rubber Goods
3069,Manufacturer Of Fabricated Rubber Products
3081,Manufacturer Of Unsupported Plastic Film
3082,Manufacturer Of Plastic Profile Shapes
3083,Manufacturer Of Laminated Plastic Plates
3084,Manufacturer Of Plastic Pipe
3085,Manufacturer Of Plastic Bottles
3086,Manufacturer Of Plastic Foam Products
3087,Manufacturer Of Compounds Plastic Resins
3088,Manufacturer Of Plastic Plumbing Fixtures
3089,Manufacturer Of Plastic Products
3111,Leather Tanning/Finishing
3131,Manufacturer Of Boot/Shoe Cut Stock
3142,Manufacturer Of House Slipper
3143,Manufacturer Of Men's Footwear
3144,Manufacturer Of Women's Footwear
3149,Manufacturer Of Footwear
3151,Manufacturer Of Leather Gloves/Mittens
3161,Manufacturer Of Luggage
3171,Manufacturer Of Women's Handbags
3172,Manufacturer Of Personal Leather Goods
3199,Manufacturer Of Leather Goods
3211,Manufacturer Of Flat Glass
3221,Manufacturer Of Glass Contain
3229,Manufacturer Of Pressed/Blown Glass
3231,Manufacturer Of Glass Product
3241,Manufacturer Of Hydraulic Cement
3251,Manufacturer Of Brick/Structural Tile
3253,Manufacturer Of Ceramic Wall/Floor Tile
3255,Manufacturer Of Clay Refractories
3259,Manufacturer Of Structural Clay Products
3261,Manufacturer Of Vitreous Plum
3262,Manufacturer Of Vitreous China
3263,Manufacturer Of Semivitreous
3264,Manufacturer Of Porcelain Electrical Items
3269,Manufacturer Of Pottery Products
3271,Manufacturer Of Concrete Blocks/Bricks
3272,Manufacturer Of Concrete Products
3273,Manufacturer Of Ready-Mixed Concrete
3274,Manufacturer Of Lime Products
3275,Manufacturer Of Gypsum Products
3281,Manufacturer Of Cut Stone Products
3291,Manufacturer Of Abrasive Products
3292,Manufacturer Of Asbestos Products
3295,Manufacturer Of Treated Minerals
3296,Manufacturer Of Mineral Wool
3297,Manufacturer Of Nonclay Refractory Items
3299,Manufacturer Of Nonmetallic Mineral Items
3312,Blast Furnace/Steel Works
3313,Manufacturer Of Electrometall
3315,Manufacturer Of Steel Wire Products
3316,Manufacturer Of Cold-Rolled Steel Shapes
3317,Manufacturer Of Steel Pipe/Tubes
3321,Gray/Ductile Iron Foundry
3322,Malleable Iron Foundry
3324,Steel Investment Foundry
3325,Steel Foundry
3331,Primary Copper Producer
3334,Primary Aluminum Producer
3339,Primary Metal Producer
3341,Secondary Metal Producer
3351,Manufacturer Of Copper Rollin
3353,Manufacturer Of Aluminum Sheet/Foil
3354,Manufacturer Of Aluminum Extruded Products
3355,Manufacturer Of Aluminum Rolling/Drawing
3356,Nonferrous Rolling/Drawing
3357,Manufacturer Of Wiredrawing/Insulating
3363,Manufacturer Of Aluminum Die-Castings
3364,Manufacturer Of Nonferrous Die-Castings
3365,Aluminum Foundry
3366,Copper Foundry
3369,Nonferrous Metal Foundry
3398,Metal Heat Treating Service
3399,Manufacturer Of Primary Metal
3411,Manufacturer Of Metal Cans
3412,Manufacturer Of Metal Barrels/Pails
3421,Manufacturer Of Cutlery
3423,Manufacturer Of Hand Tools
3425,Manufacturer Of Handsaws/Blades
3429,Manufacturer Of Hardware
3431,Manufacturer Of Metal Sanitary Ware
3432,Manufacturer Of Plumbing Fixture/Fittings
3433,Manufacturer Of Heating Equipment
3441,Structural Metal Fabrication
3442,Manufacturer Of Metal Doors/Related Trim
3443,Manufacturer Of Fabricated Plate Work
3444,Manufacturer Of Sheet Metalwork
3446,Manufacturer Of Architectural
3448,Manufacturer Of Prefab Metal
3449,Manufacturer Of Structural Metalwork
3451,Manufacturer Of Screw Machine Products
3452,Manufacturer Of Fasteners
3462,Manufacturer Of Iron/Steel Forgings
3463,Manufacturer Of Nonferrous Forgings
3465,Manufacturer Of Automotive Stampings
3466,Manufacturer Of Crowns/Closures
3469,Manufacturer Of Metal Stampings
3471,Plating/Polishing Services
3479,Coating/Engraving Services
3482,Manufacturer Of Small Arms Ammunition
3483,Manufacturer Of Ammunition
3484,Manufacturer Of Small Arms
3489,Manufacturer Of Ordnance/Accessories
3491,Manufacturer Of Industrial Valves
3492,Manufacturer Of Fluid Power Valves
3493,Manufacturer Of Steel Springs
3494,Manufacturer Of Valves/Pipe Fittings
3495,Manufacturer Of Wire Springs
3496,Manufacturer Of Fabricated Wire Products
3497,Manufacturer Of Metal Foil/Leaf
3498,Manufacturer Of Fabricated Pipe Fittings
3499,Manufacturer Of Fabricated Metal Products
3511,Manufacturer Of Turbine/Generator Set
3519,Manufacturer Of Engines And Parts
3523,Manufacturer Of Farm Machinery/Equipment
3524,Manufacturer Of Lawn And Garden Equipment
3531,Manufacturer Of Construction Machinery
3532,Manufacturer Of Mining Machinery
3533,Manufacturer Of Oil/Gas Field
3534,Manufacturer Of Elevators/Escalators
3535,Manufacturer Of Conveyors/Equipment
3536,Manufacturer Of Overhead Hoists/Cranes
3537,Manufacturer Of Industrial Trucks/Trailers
3541,Manufacturer Of Cutting Machine Tools
3542,Manufacturer Of Machine Tools
3543,Manufacturer Of Industrial Patterns
3544,Manufacturer Of Special Dies/Tools/Jigs
3545,Manufacturer Of Machine Tool
3546,Manufacturer Of Powerdriven Hand Tolls
3547,Manufacturer Of Rolling Mill
3548,Manufacturer Of Welding Apparatus
3549,Manufacturer Of Metalworking
3552,Manufacturer Of Textile Machinery
3553,Manufacturer Of Woodworking Machinery
3554,Manufacturer Of Paper Industries Machinery
3555,Manufacturer Of Printing Trades Machinery
3556,Manufacturer Of Food Products
3559,Manufacturer Of Industry Machinery
3561,Manufacturer Of Pumps/Pumping
3562,Manufacturer Of Bearings
3563,Manufacturer Of Compressors
3564,Manufacturer Of Blowers/Fans
3565,Manufacturer Of Packaging Mac
3566,Manufacturer Of Speed Changers/Drivers
3567,Manufacturer Of Industrial Furnaces/Ovens
3568,Manufacturer Of Transmission Equipment
3569,Manufacturer Of Industrial Machinery
3571,Manufacturer Of Electronic Computers
3572,Manufacturer Of Computer Storage Devices
3575,Manufacturer Of Computer Terminals
3577,Manufacturer Of Computer Peripherals
3578,Manufacturer Of Calculating Equipment
3579,Manufacturer Of Office Machines
3581,Manufacturer Of Vending Machines
3582,Manufacturer Of Laundry Equipment
3585,Manufacturer Of Ac/Heating Equipment
3586,Manufacturer Of Measuring/Dispensing Pumps
3589,Manufacturer Of Service Industry Machinery
3592,Manufacturer Of Carburetors/Pistons
3593,Manufacturer Of Fluid Power Cylinders
3594,Manufacturer Of Fluid Power Pumps/Motors
3596,Manufacturer Of Scales/Balances
3599,Manufacturer Of Industrial Machinery
3612,Manufacturer Of Transformers
3613,Manufacturer Of Switchgears/Switchboards
3621,Manufacturer Of Motors/Generators
3624,Manufacturer Of Carbon/Graphite Products
3625,Manufacturer Of Relays/Controls
3629,Manufacturers Of Electrical Apparatus
3631,Manufacturer Of Household Cooking Equipment
3632,Manufacturer Of Household Refrigerators And Freezers
3633,Manufacturer Of Household Laundry Equipment
3634,Manufacturer Of Electric Housewares And Fans
3635,Manufacturer Of Household Vacuum Cleaners
3639,"Manufacturer Of Household Appliance , NEC"
3641,Manufacturer Of Electric Lamps
3643,Manufacturer Of Conductive Wiring Devices
3644,Manufacturer Of Nonconductive Wiring Items
3645,Manufacturer Of Residential Light Fixtures
3646,Manufacturer Of Commercial Light Fixtures
3647,Manufacturer Of Vehicle Lighting Equipment
3648,Manufacturer Of Lighting Equipment
3651,Manufacturer Of Home Audio/Video Equipment
3652,Manufacturer Of Prerecorded Records/Tapes
3661,Manufacturer Of Telephone Apparatus
3663,Manufacturer Of Broadcasting Equipment
3669,Manufacturer Of Communications Equipment
3671,Manufacturer Of Electron Tubes
3672,Manufacturer Of Printed Circuit Boards
3674,Manufacturer Of Semiconductor Devices
3675,Manufacturer Of Electronic Capacitors
3676,Manufacturer Of Electronic Resistors
3677,Manufacturer Of Electronic Inductors
3678,Manufacturer Of Electronic Connectors
3679,Manufacturer Of Electronic Components
3691,Manufacturer Of Storage Batteries
3692,Manufacturer Of Primary Batteries
3694,Manufacturer Of Engine Electrical Products
3695,Manufacturer Of Recording Media
3699,Manufacturer Of Electrical Supplies
3711,Manufacturer Of Motor Vehicle Bodies
3713,Manufacturer Of Truck/Bus Bodies
3714,Manufacturer Of Motor Vehicle Parts
3715,Manufacturer Of Truck Trailers
3716,Manufacturer Of Motor Homes
3721,Manufacturer Of Aircraft
3724,Manufacturer Of Aircraft Engines And Parts
3728,Manufacturer Of Aircraft Parts/Equipment
3731,Shipbuilding/Repairing
3732,Boatbuilding/Repairing
3743,Manufacturer Of Railroad Equipment
3751,Manufacturer Of Motorcycles/Bicycles
3761,Manufacturer Of Missiles/Space Vehicles
3764,Manufacturer Of Space Propulsion Units
3769,Manufacturer Of Space Vehicle Equipment
3792,Manufacturer Of Travel Trailers/Campers
3795,Manufacturer Of Tanks/Tank Components
3799,Manufacturer Of Transportation Equipment
3812,Manufacturer Of Search/Navigation Systems
3821,Manufacturer Of Lab Apparatus
3822,Manufacturer Of Environmental
3823,Manufacturer Of Process Control Instruments
3824,Manufacturer Of Meters/Counting Devices
3825,Manufacturer Of Electrical Measuring Items
3826,Manufacturer Of Analytical Instruments
3827,Manufacturer Of Optical Instruments/Lenses
3829,Manufacturer Of Measuring Instruments
3841,Manufacturer Of Surgical/Medical Apparatus
3842,Manufacturer Of Surgical Appliances
3843,Manufacturer Of Dental Equipment/Supplies
3844,Manufacturer Of X-Ray Apparatus/Tubes
3845,Manufacturer Of Electromedical Equipment
3851,Manufacturer Of Ophthalmic Goods
3861,Manufacturer Of Photo Equipment/Supplies
3873,Manufacturer Of Watches/Clocks And Parts
3911,Manufacturer Of Precious Metal Jewelry
3914,Manufacturer Of Silverware/Plated Ware
3915,Manufacturer Of Jewelers' Materials
3931,Manufacturer Of Musical Instruments
3942,Manufacturer Of Dolls/Stuffed Toys
3944,Manufacturer Of Games/Toys
3949,Manufacturer Of Sporting/Athletic Goods
3951,Manufacturer Of Pens/Mechanical Customers
3952,Manufacturer Of Artists' Materials
3953,Manufacturer Of Marking Devices
3955,Manufacturer Of Carbon Paper/Linked Ribbons
3961,Manufacturer Of Costume Jewelry
3965,Manufacturer Of Apparel Fasteners
3991,Manufacturer Of Brooms/Brushes
3993,Manufacturer Of Advertising Displays
3995,Manufacturer Of Burial Caskets
3996,Manufacturer Of Hard Floor Coverings
3999,Manufacturer Of Miscellaneous Products
4011,Railroad Line-Haul Operator
4013,Rail Terminal Services
4111,Local/Suburban Transport Services
4119,Local Passenger Transport Services
4121,Taxicab Service
4131,Intercity/Rural Bus Line
4141,Local Bus Charter Service
4142,Bus Charter Service
4151,School Bus Service
4173,Bus Terminal/Service Facility
4212,Local Trucking Company
4213,Over-The-Road Trucking Company
4214,Local Trucking Compnay With Storage
4215,Courier Services
4221,Farm Product Warehousing
4222,Refrigerated Storage Service
4225,General Storage Service
4226,Special Storage Service
4231,Truck Terminal Facility
4311,U.S. Postal Service
4412,Foreign Sea Freight Transport Service
4424,Domestic Sea Freight Transport Service
4432,Great Lakes Freight Transport Service
4449,Water Freight Transport Service
4481,Deep Sea Passenger Transport Service
4482,Ferry Operator
4489,Water Passenger Transport Service
4491,Marine Cargo Handler
4492,Towing/Tugboat Service
4493,Marina
4499,Water Transport Services
4512,Scheduled Air Transportation
4513,Air Courier Services
4522,Nonscheduled Air Transport Service
4581,Airport/Airport Services
4612,Crude Petroleum Pipelines
4613,Refined Petroleum Pipelines
4619,Pipeline Operation Service
4724,Travel Agency
4725,Tour Operator
4729,Transportation Arrangement Service
4731,Freight Transport Arrangement
4741,Railroad Car Rental Service
4783,Packing/Crating Services
4785,Motor Freight Fixed Facility
4789,Transportation Services
4812,Radiotelephone Communications
4813,Telephone Communications Service
4822,Telegraph Communications Service
4832,Radio Broadcast Station
4833,Television Station
4841,Pay Television Services
4899,Communication Services
4911,Electric Services
4922,Natural Gas Transmission Service
4923,Gas Transmission/Distribution
4924,Natural Gas Distribution Service
4925,Gas Production/Distribution Service
4931,Electric/Other Utility Service
4932,Gas/Other Services Combined
4939,Combination Utility Service
4941,Water Supply Service
4952,Sewerage System
4953,Refuse System
4959,Sanitary Service
4961,Steam/Air Conditioning Supply
4971,Irrigation System
5012,Wholesaler Of Motor Vehicles
5013,Wholesaler Of Automotive Parts And Supplies
5014,Wholesaler Of Tires/Tubes
5015,Wholesaler Of Used Auto Parts
5021,Wholesaler Of Furniture
5023,Wholesaler Of Homefurnishings
5031,Wholesaler Of Lumber/Related Materials
5032,Wholesaler Of Brick/Stone Materials
5033,Wholesaler Of Roofing/Siding/Insulation
5039,Wholesaler Of Construction Materials
5043,Wholesaler Of Photo Equipment
5044,Wholesaler Of Office Equipment
5045,Wholesaler Of Computers/Peripherals
5046,Wholesaler Of Commercial Equipment
5047,Wholesaler Of Medical Equipment
5048,Wholesaler Of Ophthalmic Goods
5049,Wholesaler Of Professional Equipment
5051,Metal Service Center
5052,Wholesaler Of Minerals/Ores
5063,Wholesaler Of Electrical Equipment
5064,Wholesaler Of Electrical Appliances
5065,Wholesaler Of Electronic Supplies
5072,Wholesaler Of Hardware
5074,Whlsaler Of Plumbing And Hydronic Heating Supplies
5075,Wholesaler Of Warm Air Heating And Air Conditioning
5078,Wholesaler Of Refrigeration Equipment And Supplies
5082,Wholesaler Of Construction And Mining Machinery
5083,Wholesaler Of Farm And Garden Machinery
5084,Wholesale Industrial Machinery/Equipment
5085,Wholesaler Of Industrial Supplies
5087,Wholesaler Of Service Establishment Equipment
5088,Wholesaler Of Transportation Equipment And Supplies
5091,Wholesaler Of Sporting And Recreation Goods
5092,Wholesaler Of Toys And Hobby Goods And Supplies
5093,Wholesaler Of Scrap And Waste Materials
5094,Wholesaler Of Jewelry And Precious Stones
5099,Wholesaler Of Durable Goods
5111,Wholesaler Of Printing And Writing Paper
5112,Wholesaler Of Stationery And Office Supplies
5113,Wholesaler Of Industrial And Personal Service Paper
5122,Wholesaler Of Drugs Proprietaries And Sundries
5131,Wholesaler Of Piece Goods And Notions
5136,Wholesaler Of Men's And Boy's Clothing
5137,Wholesaler Of Women's And Children's Clothing
5139,Wholesaler Of Footwear
5141,"Wholesaler Of Groceries, General Line"
5142,Wholesaler Of Packaged Frozen Goods
5143,"Wholesaler Of Dairy Products, Except Dried Or Canned"
5144,Wholesaler Of Poultry And Poultry Products
5145,Wholesaler Of Confectionery
5146,Wholesaler Of Fish And Seafoods
5147,Wholesaler Of Meats And Meat Products
5148,Wholesaler Of Fresh Fruits And Vegetables
5149,Wholesaler Of Groceries And Related Products
5153,Wholesaler Of Grain And Field Beans
5154,Wholesaler Of Livestock
5159,Wholesaler Of Farm-Product Raw Materials
5162,Wholesaler Of Plastic Materials And Basic Shapes
5169,Wholesaler Of Chemicals And Allied Products
5171,Petroleum Bulk Stations And Terminals
5172,Wholesaler Of Petroleum Products
5181,Wholesaler Of Beer And Ale
5182,Wholesaler Of Wine And Distilled Beverages
5191,Wholesaler Of Farm Supplies
5192,"Wholesaler Of Books, Periodicals And Newspapers"
5193,Wholesaler Of Flowers And Florists' Supplies
5194,Wholesaler Of Tobacco And Tobacco Products
5198,"Wholesaler Of Paints, Varnishes And Supplies"
5199,Wholesaler Of Nondurable Goods
5211,Retailer Of Lumber And Other Building Materials
5231,"Retailer Of Paint, Glass And Wallpaper"
5251,Retailer Of Hardware
5261,Retailer Of Nurseries And Garden Centers
5271,Retailer Of Mobile Homes
5311,Retail Department Stores
5331,Retail Variety Stores
5399,Retailer Of Miscellaneous General Merchandise
5411,Retailer Of Groceries
5421,Retailer Of Meat And Fish
5431,Retailer Of Fruit And Vegetable Markets
5441,"Retailer Of Candy, Nut And Confectionery"
5451,Retailer Of Dairy Products
5461,Retail Bakeries
5499,Miscellaneous Food Stores
5511,Retailer Of Automobiles
5521,Retailer Of Used Automobiles
5531,Retailer Of Automotive And Home Supplies
5541,Gasoline Service Stations
5551,Retailer Of Boats
5561,Recreational Vehicle Dealers
5571,Retailer Of Motorcycles
5599,Retailer Of Miscellaneous Vehicles
5611,Men's And Boys' Clothing Stores
5621,Retailer Of Women's Clothing
5632,Women's Accessory And Specialty Stores
5641,Retailer Of Children's Wear
5651,Retailer Of Family Clothing
5661,Retailer Of Shoes
5699,Retailer Of Apparel And Accessories
5712,Retailer Of Furniture
5713,Retailer Of Floor Covering
5714,Retailer Of Draperies And Upholstries
5719,Retailer Of Home Furnishings
5722,Retailer Of Household Appliance
5731,"Radio, Television, And Electronic Stores"
5734,Retailer Of Computers And Software
5735,Retailer Of Record And Prerecorded Music
5736,Retailer Of Musical Instruments
5812,Eating Places
5813,Drinking Places
5912,Drug Stores And Proprietary Stores
5921,Retailer Of Alcoholic Beverage
5932,Retailer Of Used Merchandise
5941,Retailer Of Sporting Goods
5942,Retailer Of Books
5943,Retailer Of Stationery
5944,Retailer Of Jewelry
5945,Retailer Of Toys And Games
5946,Retailer Of Photo Supplies
5947,Retailer Of Gifts And Novelties
5948,Retailer Of Luggage And Leather Goods
